Сильный холод.|стужа
Строение, сооружение, постройка (обычно больших размеров).|здание
Непроизвольные глубокие дыхательные движения, происходящие при открытом рте.|зевота
Деревья, кустарники, травы; растительность.|зелень
Некоторые овощи, коренья и травы, употребляемые в пищу.|зелень
Зеленый цвет, оттенок.|зелень
Зеленая краска.|зелень
Уроженец одной с местности.|земляк
Металлорежущий инструмент для обработки цилиндрических отверстий.|зенкер
Ломаная линия.|зигзаг
Крутой поворот.|зигзаг
Оплодотворенная яйцеклетка.|зигота
Сказочный образ крылатого змея в тюркской мифологии.|зилант
Дорога, которой пользуются только зимою.|зимник
Небольшая теплая изба, в которой живут зимой.|зимник
Землянка или строение для ночевки лесорубов, охотников, рыбаков и т.п. (обычно в зимнее время).|зимник
Пустота, провал.|зияние
Стечение двух или более гласных внутри слова или на стыке двух слов (фиалка, пора идти, у озера и т.п.) (в лингвистике).|зияние
Чувство гневного раздражения, враждебности по отношению к злоба.|злость
Денежная единица Польши; денежный знак соответствующего достоинства.|злотый
Обладание сведениями, осведомленность относительно.|знание
Проверенный практикой результат постижения действительности, ее отражение в сознании человека.|знание
Совокупность сведений, познаний в области.|знания
Совокупность двенадцати расположенных вдоль эклиптики созвездий, по которым проходит Солнце, совершая свой видимый годичный путь.|зодиак
Строитель, архитектор.|зодчий
Один из благородных металлов желтого цвета, отличающийся мягкостью и пластичностью.|золото
Золотые монеты, деньги.|золото
Приспособление для защиты от дождя и солнца в виде складывающегося, укрепленного на трости каркаса, обтянутого материей.|зонтик
Соцветие у растений.|зонтик
Зоологический сад.|зоосад
Мелкая птица семейства совиных; сплюшка.|зорька
Отверстие в радужной оболочке глаза, через которое в глаз проникают световые лучи.|зрачок
Одно из пяти основных чувств, посредством которого человек видит.|зрение
Способность видеть.|зрение
Инструмент с режущей частью в виде клина, применяемый в основном при рубке металлов.|зубило
Звук, образующийся при сближении передней части языка с верхними передними зубами (в лингвистике).|зубной
Чесоточный клещ, вызывающий зуд, чесотку у человека и животных.|зудень
Музыкант, играющий на зурне.|зурнач
Подвижные или топкие зыбучие пески.|зыбуны
Небольшая лесная певчая птица семейства вьюрковых с красноватым по бокам оперением.|зяблик
Семейство двудомных растений, к которому относятся ива, тополь и т.п.|ивовые
Лесная певчая птица отряда воробьиных с оперением желтого и черного или зеленоватого цвета.|иволга
Настоятель мужского православного монастыря.|игумен
Присущий только данному языку и не переводимый на другие языки устойчивый оборот речи, значение которого не вытекает из суммы значений составляющих его элементов (в лингвистике).|идиома
Монах, член воинствующего католического духовного ордена - "Общество Иисуса", созданного в 1534 г. и имевшего основной своею целью упрочение папства и католицизма.|иезуит
Хитрый, двуличный человек; лицемер.|иезуит
Священнослужитель, имеющий епископский сан.|иерарх
Отвергнутый или выброшенный человек.|изверг
Болезненное ощущение жжения в пищеводе.|изжога
Предательство, вероломство.|измена
Отказ от прежних взглядов, привычек и т.п.|измена
Произнесение в предударных слогах звука [и], свойственное среднерусским и южнорусским акающим говорам.|иканье
Тропическое травянистое растение, мясистые корневища которого богаты эфирными маслами.|имбирь
Земельное владение с помещичьим хозяйством; поместье.|имение
Ввоз в страну иностранных товаров из-за границы.|импорт
Общее количество или общая стоимость ввозимых из-за границы товаров.|импорт
Народ нахской этноязыковой группы.|ингуши
Список, перечень, указатель имен, названий и т.п.|индекс
Условное обозначение (буквенное, цифровое или комбинированное в системе классификации).|индекс
Цифровой показатель, выражающий (обычно в процентах) последовательные изменения экономического явления (объема производства, цен и т.п.).|индекс
Числовой или буквенный указатель, которым снабжаются математические выражения для отличия их друг от друга.|индекс
Один из циклов при летосчислении по пятнадцатилетним циклам в христианских странах в средние века.|индикт
Сложный углевод растительного происхождения, используемый как заменитель крахмала и сахара при сахарном диабете.|инулин
Титул принца королевского дома (в Испании и Португалии).|инфант
Аффикс, вставляемый внутрь корня слова при словообразовании или словоизменении (в лингвистике).|инфикс
Многолетнее вьющееся южное растение семейства вьюнковых с красивыми крупными воронкообразными цветками.|ипомея
Население Ирака, состоящее в основном из арабов и курдов.|иракцы
Население Ирана, состоящее из персов, азербайджанцев, курдов и других народов.|иранцы
Химический элемент, тяжелый тугоплавкий металл серебристо-белого цвета, применяемый для нанесения защитных покрытий.|иридий
Тонкая насмешка, прикрытая серьезной формой выражения или внешне положительной оценкой.|ирония
Стилистический прием контраста видимого и скрытого смысла высказывания, создающий эффект насмешки (в литературоведении).|ирония
Идеал познания, заключающийся в совпадении мыслимого с действительностью, в правильном понимании и знании объективной действительности.|истина
Начало, зарождение.|истоки
Причина, основа.|истоки
Чувство усталости, утомления, расслабленности.|истома
Состояние приятной слабости; томление.|истома
Врожденное кожное заболевание, при котором кожа покрыта жесткими шероховатыми чешуйками.|ихтиоз
Густая темная жидкость с характерным запахом - продукт переработки сланцев, богатых остатками ископаемых рыб, применяемая как наружное антисептическое средство.|ихтиол
Недостаточное кровоснабжение органа или участка ткани, вызванное закупоркой или сужением соответствующей артерии.|ишемия
Задержка мочи, отсутствие мочеиспускания.|ишурия
Охотничья или служебная собака с острым чутьем, отыскивающая или по запаху.|ищейка
Обезьяна семейства мартышкообразных с удлиненной мордой и ярко окрашенными седалищными мозолями.|павиан
Крупная птица семейства фазановых с пестрым нарядным оперением и (у самца) широко распускающимся, длинным хвостом.|павлин
Буддийский храм.|пагода
Сильный вред; гибель.|пагуба
Труп животного.|падаль
Полоса ткани, маскирующая на сцене верхние пролеты над декорациями, световую аппаратуру и т.п.|падуга
Пространство между грудью и прилегающей к ней одеждой.|пазуха
Углубление, впадина, выемка в.|пазуха
Полость в некоторых органах тела (в анатомии).|пазуха
Углубление между основанием листа и стеблем (в ботанике).|пазуха
Дуга свода (в архитектуре).|пазуха
Комната, где лежат больные в лечебных учреждениях.|палата
Название некоторых государственных или общественных учреждений.|палата
Составная часть парламента или иного высшего органа государственной власти.|палата
Название некоторых судебных и административных органов (в Российском государстве до 1917 г.).|палата
Тяжелая дубинка с утолщенным концом, употреблявшаяся в старину как оружие.|палица
местн. Часть сохи или плуга, служащая для отвала земли при пахании.|палица
Часть церковного облачения высшего духовенства в виде парчового квадрата.|палица
Промысловая рыба семейства камбаловых, обитающая в северных и дальневосточных морях.|палтус
Сплошное горизонтальное перекрытие на судне в виде пола.|палуба
Растение, распространенное в жарких странах, культивируемое однако и как декоративное (обычно в виде дерева с прямым неветвистым стволом и собранными на вершине вечнозелеными крупными перистыми или веерообразными листьями).|пальма
Охотничий нож на длинном черенке-рукоятке.|пальма
Способность запоминать, сохранять и воспроизводить в сознании прежние впечатления.|память
Запас впечатлений, хранящихся в сознании и могущих быть воспроизведенными.|память
Воспоминание.|память
Способность мыслить, рассуждать, отдавать отчет в своих поступках, чувствах; сознание.|память
Летняя широкополая шляпа, плетеная или матерчатая.|панама
Крупное мошенничество с подкупом высших должностных лиц.|панама
Ткань из искусственного шелка, обычно одноцветная.|панама
Наклонная пологая площадка для въезда или входа в здание, на мост, для переезда с этажа на этаж и т.п.|пандус
Дорожка для пешеходов по краям улицы, покрытая камнем, асфальтобетоном и т.п.; тротуар.|панель
Отделка - деревянная обшивка, оклейка, окраска и т.п. - нижней части стен помещения, комнаты.|панель
Элемент конструкции здания, имеющий форму большой плиты, применяемый в сборном строительстве.|панель
Мраморная, пластмассовая и т.п. доска, являющаяся частью щита или пульта энергетического, промышленного, транспортного и т.п. управления.|панель
Участок шахтного поля, выделяемый при разработке горизонтальных или пологих пластов полезного ископаемого для очистки выемки.|панель
Юбка из трех полотнищ шерстяной, обычно полосатой или клетчатой яркой ткани, носимая крестьянками.|панева
Внезапное смятение, проявление страха при действительной или мнимой опасности, обычно как массовое явление.|паника
Благородный или пятнистый олень с пантами.|пантач
Плодовое тропическое дерево; дынное дерево.|папайя
Представитель одного из племен, населяющих Новую Гвинею и некоторые другие острова Меланезии.|папуас
Плотный узелок на коже человека, образующийся при кожных раздражениях, заболеваниях.|папула
Большое ведро для испражнений и помоев, стоящее в тюремной камере.|параша
Небольшие гладкие дощечки из твердых пород древесины, используемые для настилки лицевого слоя пола.|паркет
Каменные или бетонные плиты, используемые для мощения мостовых или укладки пола.|паркет
Отгороженное и крытое пространство для содержания кроликов небольшими группами.|паркет
Название горного массива в Греции, который - по древнегреческим мифологическим представлениям - служил местом пребывания Аполлона и муз.|парнас
Отделение в бане, в котором парятся.|парная
Котел для распаривания.|парник
Остекленное помещение для выращивания ранней рассады, ранних овощей и плодов.|парник
Секретное слово, фраза, применяемые для опознания своих людей (на военной службе, а также в конспиративных целях).|пароль
Единица измерения расстояний в астрономии, равная расстоянию, для которого годичный параллакс равен одной секунде.|парсек
Ряды кресел в нижней части зрительного зала.|партер
Положение борца в спортивной борьбе, когда он, находясь на ковре, стоит на коленях и опирается о ковер руками.|партер
Политическая организация, объединяющая наиболее активных представителей класса или социального слоя, выражающая и защищающая его интересы, руководящая им в достижении целей.|партия
Группа лиц, объединенных общностью воззрений, интересов или единым мнением по вопросу.|партия
Отдельная часть в многоголосном музыкальном произведении, исполняемая одним инструментом, одним певцом.|партия
Определенное количество доставляемого, отправляемого и т.п. (обычно о товаре).|партия
Определенное количество продукции, изготовленной на производстве; серия.|партия
Полная игра с начала до конца.|партия
Группа лиц, необходимых для осуществления игры.|партия
Брак с точки зрения его приемлемости, выгодности.|партия
Мужчина и женщина с точки зрения их приемлемости, пригодности друг для друга как супругов.|партия
Выгодный брак.|партия
Головной женский убор с драгоценными украшениями.|парюра
Место, где расставлены ульи с пчелами.|пасека
Пчеловодное хозяйство.|пасека
Сахаристая жидкость, выделяющаяся из перерезанных сосудов древесины живых растений.|пасока
Крытая галерея с рядом магазинов или контор по обеим сторонам, соединяющая две улицы.|пассаж
Последовательность тонов в быстрой смене музыкальных звуков, объединенная общим замыслом.|пассаж
Отдельное место в тексте книги, статьи и т.п.|пассаж
Переход героев в киносценарии из одной обстановки в другую.|пассаж
Прививка бактерии от одного животного другому.|пассаж
Ритмическое движение лошади на очень короткой рыси (один из видов верховой езды).|пассаж
Сухой тропический ветер, постоянно дующий от субтропических широт к экватору.|пассат
Совокупность долгов и обязательств предприятия.|пассив
Страдательный залог (в лингвистике).|пассив
Верующие церкви; прихожане.|паства
Приходский священник в протестантской церкви.|пастор
Документ на право занятия торговлей или промыслом.|патент
Свидетельство, удостоверяющее наличие у его обладателя исключительного права на изобретение.|патент
Жертвенная чаша.|патера
Густое, тягучее сладкое вещество - продукт неполного осахаривания крахмала.|патока
Хозяин предприятия, фирмы.|патрон
Знатный гражданин (первоначально из патрициев), покровитель зависимых от него вольноотпущенников и клиентов и их защитник на суде (в Древнем Риме).|патрон
Пуля или дробь с пороховым зарядом и капсюль с воспламенителем, заключенные в гильзе.|патрон
Приспособление для закрепления на металлорежущих станках обрабатываемой детали или инструмента.|патрон
Часть электрического осветительного прибора, в которую ввинчивается лампочка для присоединения ее к сети.|патрон
Речное несамоходное деревянное беспалубное судно малой грузоподъемности, с плоским днищем, предназначенное для перевозки грузов по мелководью.|паузок
Бедняк, лишенный всяких средств к существованию.|паупер
Вспаханное поле, используемое под посевы сельскохозяйственных культур; пашня.|пахота
Тропическое ветвистое полукустарниковое растение семейства губоцветных с душистыми листьями и ветками.|пачули
Тонкое место на выделанной коже, которое легко прорывается.|пашина
Нижняя брюшная часть туши животного.|пашина
Кушанье из особым образом приготовленного фарша печенки, дичи, рыбы и т.п.|паштет
Участник церковного хора.|певчий
Рычаг, приводимый в движение ногой, в различных устройствах, механизмах и т.п.|педаль
Деталь рычажного устройства в музыкальных инструментах, управляемая нажимом ноги и служащая для изменения громкости и длительности звучания.|педаль
Служитель при суде (в Западной Европе в средние века).|педель
Педагогический факультет.|педфак
Крупное пятно другого цвета на шерсти животного, перьях птицы.|пежина
Общий вид местности.|пейзаж
Картина или рисунок, изображающие природу.|пейзаж
Описание, изображение природы в литературном или музыкальном произведении.|пейзаж
Угол между направлением, указываемым компасом, и направлением, по которому виден данный предмет, приходят электромагнитные волны, слышен звук.|пеленг
Строй или боевой порядок, при котором самолеты или их звенья строятся друг за другом под углом, уступами.|пеленг
Рыба семейства сигов; сырок.|пелядь
Боги - хранители домашнего очага, покоя (в древнеримской мифологии).|пенаты
Домашний очаг, родной дом.|пенаты
Периодическая - обычно ежемесячная - денежная выплата в качестве материального обеспечения граждан по возрасту, при утрате ими работоспособности, при потере кормильца и т.п.|пенсия
Пятиэлектродная электронная лампа.|пентод
Прядильное волокно из стеблей конопли.|пенька
Отростки на теле птицы, из которых вырастают перья.|пеньки
Система кабальной зависимости; долговое рабство.|пеонаж
Необходимое для пищеварения вещество, вырабатываемое железами желудка.|пепсин
Продукт распада белков при пищеварении под воздействием пепсина.|пептон
Жидкое блюдо, с которого начинается обед.|первое
Те, кто занимают начальные места в ряду, перечне.|первые
Низкая ограда по внешнему краю лестницы, террасы, балкона или по обеим сторонам моста, предохраняющая от падения вниз.|перила
Матрас, тюфяк, набитый перьями или пухом.|перина
Промежуток времени, в который протекает определенная часть общего процесса.|период
Промежуток времени, в течение которого совершается повторяющийся процесс.|период
Этап общественного или культурно-исторического развития, общественного движения в жизни страны, народа.|период
Сложное синтаксическое построение, состоящее из одного сложного предложения или из соединения группы предложений, характеризуемое подробным развитием мысли и ритмической законченностью интонации и употребляемое как стилистический прием (в лингвистике).|период
Небольшое законченное построение, представляющее соединение двух предложений, одинаковых по их мелодической основе, но различных по завершению (в музыке).|период
Группа повторяющихся цифр в бесконечной десятичной дроби (в математике).|период
Одна из разновидностей полиамидного синтетического волокна.|перлон
Старинное русское оружие, состоящее из короткого древка с металлическим наконечником в виде щитков (перьев).|пернач
Площадка у железнодорожных путей на станциях и остановочных пунктах для удобной посадки и высадки пассажиров.|перрон
Дерево семейства розовых с листьями ланцетовидной формы, приносящее сладкие сочные ароматные плоды.|персик
Женский половой орган растений - центральная часть цветка, из которой образуется плод после оплодотворения пыльцой; плодник.|пестик
Один из основных родов войск, действующих в пешем строю.|пехота
Военнослужащие пешего войска; пехотинцы.|пехота
Чувство грусти, скорби, тоски; состояние душевной горечи.|печаль
Небольшой предмет с изображением резных знаков на его основании для воспроизведения их краскою на бумаге или в виде оттиска на воске, сургуче, свинце и т.п.|печать
Воспроизведение текста, рисунков и т.п. полиграфическим путем; печатание.|печать
Текст, напечатанный типографским способом.|печать
Литература (обычно периодическая); пресса.|печать
Отрасль производства, занятая подготовкой и изготовлением печатной продукции; типографское и издательское дело.|печать
Самая крупная железа у животных и человека, вырабатывающая желчь.|печень
Семейная община у русских на Севере, существовавшая до XIX в. и основывавшаяся на коллективном землевладении.|печище
Мастер по кладке и ремонту печей.|печник
Пустота в земной коре или в горном массиве с выходом наружу, образующаяся в результате действия подземных вод или вулканических процессов.|пещера
Вырытое в земле или выдолбленное в скале углубление, служащее для жилья или хранения.|пещера
Жилище монаха, отшельника и т.п.|пещера
Мелкая денежная единица и монета в Турции, Египте, Сирии и некоторых других странах.|пиастр
Старинная денежная единица разной ценности в Испании, Португалии и латиноамериканских странах.|пиастр
Торговое заведение, где продают и пьют пиво.|пивная
Общее название ряда низкорослых племен Центральной Африки, Юго-Восточной Азии и Океании.|пигмеи
Человек очень маленького роста; карлик.|пигмей
Верхняя часть мужского костюма с рукавами, открытым отложным воротником и застегивающимися полами.|пиджак
Воспаление почечных лоханок.|пиелит
Общая гнойная инфекция организма, характеризующаяся образованием многочисленных очагов гнойного воспаления в различных органах.|пиемия
Глубокое уважение, почтительное отношение.|пиетет
Мужской или женский домашний, спальный или больничный костюм, состоящий из широких брюк и куртки свободного покроя.|пижама
Загородная увеселительная прогулка компанией (обычно с закуской на открытом воздухе).|пикник
Овощи, маринованные в уксусе с пряностями, употребляемые как приправа к мясным и рыбным блюдам.|пикули
Специальное помещение для механической пилки леса.|пильня
Лекарство, спрессованное в форме твердого шарика.|пилюля
Небольшие пружинные щипцы для захватывания и удержания мелких, хрупких и т.п. предметов.|пинцет
Порода мелких короткошерстных собак с длинными ушами.|пинчер
Солдат саперной части инженерных войск (в Англии, Германии и в Российском государстве до 30-х годов XIX в.).|пионер
Узкая, длинная лодка у народов Центральной и Южной Америки и Океании, выдолбленная или выжженная из ствола дерева.|пирога
Полный оборот танцовщицы или танцовщика на месте на полупальцах или пальцах одной ноги (в хореографии).|пируэт
Быстрое вращение тела вокруг вертикальной оси (в фигурном катании).|пируэт
Круговой поворот в воздухе во время прыжка (в цирковом искусстве).|пируэт
Поворот лошади на задних ногах (в верховой езде).|пируэт
Полный поворот самолета вокруг оси.|пируэт
Должностное лицо, занимающееся перепиской и составлением канцелярских бумаг.|писарь
Растение семейства хвощевых; полевой хвощ.|пистик
Металлический колпачок с взрывчатым веществом, предназначенный для воспламенения порохового заряда в ружейных патронах или снарядах.|пистон
Поршень помпового вентильного механизма в медных духовых музыкальных инструментах, имеющий клавишу, нажиманием которой он приводится в действие.|пистон
Короткая тонкая трубочка с загнутыми кругом концами, применяемая вместо заклепок в самолетостроении.|пистон
Механически насаживаемая круглая металлическая оправа отверстий, пробиваемых в картоне, коже и т.п.|пистон
Бумага с написанным на ней текстом, посылаемая с целью сообщения о изложения своих мыслей, выражения чувств.|письмо
Официальный документ.|письмо
Умение, способность писать.|письмо
Система графических знаков, принятая для передачи, запечатления писания; письменность.|письмо
Приемы создания литературно-художественных произведений.|письмо
Приемы, манера написания произведений живописи.|письмо
Старинный духовой музыкальный инструмент типа дудочки, свирели.|пищаль
Старинное огнестрельное оружие, подобное ружью.|пищаль
Старинное артиллерийское орудие; пушка.|пищаль
Птица отряда воробьиных с длинным тонким клювом и серовато-бурым оперением.|пищуха
Небольшое животное семейства грызунов, с длинным волосяным покровом, небольшими ушами и коротким хвостом, издающее звуки, напоминающие писк.|пищуха
Пресноводный кольчатый червь, питающийся кровью животных, к телу которых он присасывается.|пиявка
Один производственный цикл выплавления металла.|плавка
Мужские короткие прилегающие трусики (обычно для плавания).|плавки
Заболоченные или покрытые влаголюбивой растительностью поймы низовий рек.|плавни
Жидкая часть крови.|плазма
Темно-зеленый халцедон.|плазма
Художественный рисунок, сопровождаемый кратким текстом, органически связанным с изображением и призывающим к определенным действиям.|плакат
Лист бумаги, полоса ткани и т.п. с призывом, лозунгом.|плакат
Небольшая гладкая дощечка, пластинка, полоска из дерева, металла, ткани.|планка
Часть спортивного снаряда для прыжков в высоту в виде тонкой длинной палки.|планка
Внесение денег в возмещение стоимости использованного, полученного и т.п.; плата.|платеж
Старинная верхняя мужская одежда из дорогих тканей, служившая в XV-XVII вв. облачением монархов Руси при торжественных приемах, придворных церемониях и т.п.|платно
Небольшой кусок ткани квадратной формы для сморкания и вытирания носа, лица, глаз.|платок
Одежда, носимая поверх белья.|платье
Цельная женская одежда, верхняя часть которой соответствует кофте, а нижняя - юбке.|платье
Потолок или его часть, украшенные живописью, мозаикой или лепкой.|плафон
Часть светильника, абажур - обычно прозрачный - для электрических ламп в люстре, бра и т.п.|плафон
Кустарная украинская шерстяная или бумажная ткань с узорами из квадратов, полос, звездочек и т.п.|плахта
Человек из низших слоев свободного (не находящегося в рабстве) населения, первоначально не пользовавшегося политическими и гражданскими правами (в Древнем Риме).|плебей
Род однолетних, реже многолетних травянистых растений семейства злаков, отдельные виды которых являются сорняками.|плевел
Сорная трава, растущая среди хлебных злаков.|плевел
Выплюнутый в один раз сгусток слюны, мокроты, крови.|плевок
Оболочка, облегающая легкие и внутреннюю поверхность грудной клетки у человека и млекопитающих.|плевра
Пластинка с заостренным углом, посредством которой извлекаются звуки при игре на некоторых щипковых инструментах.|плектр
Заседание членов выборного руководящего органа организации в полном составе.|пленум
Передача своеобразия воздушной среды и естественности освещения (в живописи).|пленэр
Природная среда одновременно как место и объект творчества живописца.|пленэр
Группа выдающихся деятелей на поприще, связанных общностью взглядов, задач, направления и относящихся к одной эпохе.|плеяда
Лица, составляющие группу по общему признаку.|плеяда
Тонкая ткань, оболочка в животном или растительном организме.|пленка
Тонкий слой на поверхности.|пленка
Специальная светочувствительная лента, применяемая в фотографии, кинематографии, телевидении и т.п. для получения изображений при съемке.|пленка
Магнитная лента, применяемая для звукозаписи.|пленка
Птица из отряда воробьиных; трясогузка.|плиска
Небольшие плиты обычно используемые для мощения тротуара, настила полов, облицовки стен.|плитка
Кусок вещества, спрессованного в форме четырехугольной пластинки.|плитка
Нагревательный - обычно электрический - прибор для приготовления пищи.|плитка
Сплюснутый кусочек свинца, мастики и т.п. с оттиском печати (клейма), привешиваемый к различным предметам, приборам, дверям помещений, вагонов и т.п. в качестве запретительного знака.|пломба
